,x
718,-4
719,-3
720,-4
721,0
722,6
723,0
724,2
725,1
726,-4
727,-10
728,-1
729,3
730,-3
731,1
732,0
733,-11
734,-9
735,0
736,1
737,-9
738,0
739,-5
740,2
741,-9
742,2
743,-10
744,0
745,1
746,0
747,-9
748,-16
749,0
750,-3
751,-25
752,-8
753,-3
754,1
755,-7
756,4
757,-2
758,12
759,0
760,1
761,-6
762,0
763,-5
764,-4
765,3
766,-3
767,0
768,2
769,1
770,-49
771,5
772,2
773,-11
774,3
775,0
776,1
777,-17
778,1
779,6
780,4
781,-7
782,-1
783,-2
784,7
785,5
786,-4
787,-5
788,11
789,0
790,2
791,-6
792,-3
793,0
794,-8
795,0
796,0
797,5
798,1
799,0
800,-15
801,0
802,-1
803,-8
804,5
805,9
806,0
807,9
808,-1
809,-7
810,-3
811,-5
812,-1
813,-1
814,25
815,0
816,-3
817,-6
818,-2
819,0
820,-1
821,3
822,-20
823,3
824,0
825,1
826,-2
827,-2
828,2
829,-1
830,5
831,-1
832,-3
833,0
834,0
835,0
836,2
837,2
838,4
839,-3
840,0
841,-1
842,3
843,-4
844,-2
845,-6
846,-2
847,-7
848,-3
849,12
850,2
851,-1
852,-1
853,-2
854,0
855,0
856,0
857,0
858,6
859,-5
860,-4
861,-2
862,-2
863,-1
864,-4
865,-10
866,0
867,0
868,1
869,2
870,1
871,-14
872,0
873,0
874,3
875,4
876,-2
877,4
878,0
879,-2
880,-1
881,-1
882,-1
883,-3
884,0
885,-8
886,-6
,-1.40744921
