,x
1,4
2,2
3,1
4,-3
5,-7
6,-5
7,-5
8,0
9,-1
10,3
11,7
12,0
13,5
14,2
15,4
16,10
17,0
18,0
19,3
20,-2
21,-1
22,-2
23,25
24,-7
25,-2
,1.24
